1647955031.lRt.2022.lwlr.1: lisa, video_progress, , , 
1647955103.lRt.2022.lwlr.1: lisa, video_progress, , , 
1647955107.lRt.2022.lwlr.1: lisa, video_progress, , , 
1647955112.lRt.2022.lwlr.1: lisa, video_progress, , , 
1647955117.lRt.2022.lwlr.1: lisa, video_progress, , , 
1647955122.lRt.2022.lwlr.1: lisa, video_progress, , , 
1647955127.lRt.2022.lwlr.1: lisa, video_progress, , , 
1647955132.lRt.2022.lwlr.1: lisa, video_progress, , , 
1647955137.lRt.2022.lwlr.1: lisa, video_progress, , , 
1647955142.lRt.2022.lwlr.1: lisa, video_progress, , , 
1647955143.lRt.2022.lwlr.1: lisa, video_progress, , , 
1647955218.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647955330.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647955447.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647955503.lRt.2022.lwlr.1: lisa, exercise_submission, exc-calc-z, , 
1647955527.lRt.2022.lwlr.1: lisa, exercise_submission, exc-calc-z, , 
1647955532.lRt.2022.lwlr.1: lisa, exercise_hint, , , 
1647955562.lRt.2022.lwlr.1: lisa, question_submission, quiz-2-1, 70, FALSE
1647955584.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647955637.lRt.2022.lwlr.1: lisa, question_submission, quiz1-1, A, FALSE
1647955641.lRt.2022.lwlr.1: lisa, question_submission, quiz1-1, , 
1647955645.lRt.2022.lwlr.1: lisa, question_submission, quiz1-1, BC, TRUE
1647955680.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647955800.lRt.2022.lwlr.1: lisa, session_stop, , , 
1647955801.lRt.2022.lwlr.1: lisa, session_start, , , 
1647955828.lRt.2022.lwlr.1: lisa, session_stop, , , 
1647955831.lRt.2022.lwlr.1: lisa, session_stop, , , 
1647955841.lRt.2022.lwlr.1: lisa, session_start, , , 
1647955855.lRt.2022.lwlr.1: lisa, session_start, , , 
1647955871.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647955907.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647955993.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647956314.lRt.2022.lwlr.1: lisa, session_start, , , 
1647956406.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647956731.lRt.2022.lwlr.1: lisa, session_start, , , 
1647956743.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647956745.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647956747.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647956849.lRt.2022.lwlr.1: lisa, session_start, , , 
1647956929.lRt.2022.lwlr.1: lisa, session_start, , , 
1647956959.lRt.2022.lwlr.1: lisa, session_start, , , 
1647956969.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647956971.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647956973.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647956974.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647956977.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647956978.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647956995.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647957019.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647957458.lRt.2022.lwlr.1: lisa, session_start, , , 
1647957846.lRt.2022.lwlr.1: lisa, session_start, , , 
1647958042.lRt.2022.lwlr.1: lisa, session_start, , , 
1647958079.lRt.2022.lwlr.1: lisa, session_start, , , 
1647958147.lRt.2022.lwlr.1: lisa, session_start, , , 
1647958266.lRt.2022.lwlr.1: lisa, session_start, , , 
1647958330.lRt.2022.lwlr.1: lisa, session_start, , , 
1647958348.lRt.2022.lwlr.1: lisa, session_start, , , 
1647958431.lRt.2022.lwlr.1: lisa, session_start, , , 
1647958434.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647958444.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647958516.lRt.2022.lwlr.1: lisa, session_start, , , 
1647958519.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647958528.lRt.2022.lwlr.1: lisa, session_start, , , 
1647958754.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647958757.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647958763.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647958773.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647958785.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647958787.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647958788.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647958790.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647958802.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647958810.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647958852.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647958902.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647958999.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647959017.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647959039.lRt.2022.lwlr.1: lisa, session_stop, , , 
1647969178.lRt.2022.lwlr.1: lisa, session_start, , , 
1647969222.lRt.2022.lwlr.1: lisa, session_start, , , 
1647969229.lRt.2022.lwlr.1: lisa, session_stop, , , 
1647969230.lRt.2022.lwlr.1: lisa, session_start, , , 
1647973936.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647973938.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647973940.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647973941.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647973942.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647973945.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647973950.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647973951.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647973953.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647973973.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647974002.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647974118.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647974173.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647974196.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647974239.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647974345.lRt.2022.lwlr.1: lisa, exercise_hint, , , 
1647974384.lRt.2022.lwlr.1: lisa, exercise_hint, , , 
1647974394.lRt.2022.lwlr.1: lisa, exercise_submission, exc-function-2, , 
1647974403.lRt.2022.lwlr.1: lisa, exercise_submission, exc-calc-z-any, , 
1647974410.lRt.2022.lwlr.1: lisa, exercise_submission, exc-calc-z-any, , 
1647974434.lRt.2022.lwlr.1: lisa, exercise_submission, exc-calc-z-any, , 
1647974466.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647974472.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647974474.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647974478.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647974483.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647974485.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647974487.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647974489.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647974499.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647974502.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647974504.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647974506.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647974518.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647974525.lRt.2022.lwlr.1: lisa, session_stop, , , 
1647974525.lRt.2022.lwlr.1: lisa, session_start, , , 
1647976338.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647976531.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647976604.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647976724.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647976839.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647976896.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647976996.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647977174.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647977217.lRt.2022.lwlr.1: lisa, section_skipped, , , 
1647977379.lRt.2022.lwlr.1: lisa, section_skipped, , , 
